IncidentID,Service,Severity,Status,DetectedAt,ResolvedAt,WaiverUntil,Title
INC-2001,auth-api,P0,OPEN,2026-02-12,,,oauth_token_replay
INC-2002,auth-api,P2,RESOLVED,2026-01-05,2026-01-08,,rate_limit_misconfig
INC-2003,auth-api,P1,IN_PROGRESS,2026-02-05,,,session_fixation_followup

INC-2004,billing-svc,P1,open ,2026-01-15,,2026-02-16,invoice_rounding_bug
INC-2005,billing-svc,P3,OPEN,2025-12-20,,,email_template_typos
INC-2006,billing-svc,P2,OPEN,2026-02-14,,,stale_cache_header
INC-2031,billing-svc,P2,OPEN,2026-02-01,,,tax_code_mapping
INC-2032,billing-svc,P1,OPEN,2026-02-12,,,chargeback_queue_delay

INC-2007,search-core,P1,OPEN,2026-02-10,,,query_parser_edge_case
INC-2008,search-core,P0,OPEN,2026-02-16,,,indexer_panic
INC-2009,search-core,P2,OPEN,2026-01-20,,,synonym_list_drift

INC-2010,checkout-web,P1,OPEN,2026-01-25,,,csrf_token_mismatch
INC-2011,checkout-web,P2,OPEN,2026-02-20,,,promo_banner_overflow_future

INC-2012,inventory,P2,OPEN ,2026-01-10,,2026-03-01,stale_stock_counter_waiver_should_not_apply
INC-2013,inventory,P0,OPEN,2026-02-01,,2026-02-15,admin_endpoint_bypass_waiver_expired
INC-2014,inventory,P3,RESOLVED,2025-12-01,2025-12-10,,docs_typo_cleanup

INC-2015,media-cdn,P1,OPEN,2026-02-03,,,origin_failover_gap
INC-2016,media-cdn,P2,IN_PROGRESS,2026-01-01,,,video_manifest_mismatch
INC-2017,media-cdn,P0,OPEN,2026-02-18,,,edge_auth_regression_future

INC-2018,analytics-pipeline,P2,OPEN,2026-01-25,,,etl_retry_storm
INC-2019,analytics-pipeline,P1,OPEN,2026-02-06,,2026-02-16,pii_in_logs_waiver_equals_asof_but_not_blocking
INC-2020,analytics-pipeline,P3,OPEN,2026-01-05,,,dashboard_label_mismatch

INC-2021,recommend-engine,P2,OPEN,2026-02-02,,,ranking_jitter
INC-2022,recommend-engine,P1,IN_PROGRESS,2026-01-30,,,bad_feature_flag_rollout
INC-2023,recommend-engine,P0,OPEN,2026-02-07,,2026-02-20,training_data_leak_waiver_active

INC-2024,support-portal,P3,OPEN,2025-12-30,,,css_regression
INC-2025,support-portal,P1,OPEN,2026-01-01,,,ticket_export_injection
INC-2026,support-portal,P1,OPEN,2026-02-08,,,attachment_scan_bypass

INC-2027,user-profile,P2,OPEN,2026-01-28,,,avatar_upload_limits
INC-2028,user-profile,P2,OPEN,2026-01-15,,,session_cache_miss
INC-2029,user-profile,P1,OPEN,2026-02-01,,,password_reset_bruteforce
INC-2030,checkout-web,P3,OPEN,2026-02-05,,,i18n_string_missing
